name,description,category,price,brand,quantity_in_warehouse
Samsung TV,55 inch 4K TV,Electronics,45000,Samsung,10
Wheat Bread,Fresh bread,Food,50,Local,100
Coffee Maker,Drip coffee maker,Kitchen Essentials,3500,Philips,25
iPhone 14,Latest Apple smartphone,Electronics,80000,Apple,15
Bluetooth Speaker,Portable speaker,Electronics,2500,Boat,40
LED Bulb,Energy saving bulb,Electronics,150,Philips,200
Jeans,Denim slim fit jeans,Clothing,2000,Levis,30
T-Shirt,Cotton round neck t-shirt,Clothing,800,Nike,50
Jacket,Winter padded jacket,Clothing,3500,Puma,20
Sneakers,Casual running shoes,Clothing,4000,Adidas,35
Rice,Premium basmati rice 5kg,Food,600,India Gate,60
Milk,Full cream milk 1L,Food,60,Amul,120
Eggs,Pack of 12 eggs,Food,90,Local,80
Cooking Oil,Refined sunflower oil 1L,Food,180,Fortune,70
Mixer Grinder,3 jar mixer grinder,Kitchen Essentials,4500,Bajaj,18
Pressure Cooker,5L stainless steel cooker,Kitchen Essentials,2200,Prestige,22
Non-Stick Pan,Frying pan non-stick,Kitchen Essentials,1200,Tefal,28
Knife Set,Stainless steel knife set,Kitchen Essentials,900,Pigeon,35
Notebook,200 pages ruled notebook,Books,120,Classmate,90
Science Textbook,Physics class 11 book,Books,500,NCERT,40
Novel Book,Fiction novel bestseller,Books,350,Penguin,25
Dictionary,English dictionary,Books,300,Oxford,20
Cookbook,Recipe collection book,Books,600,HarperCollins,15
Formal Shirt,Office wear shirt,Clothing,1800,Arrow,25
Shorts,Casual summer shorts,Clothing,900,HRX,45